Table No.,ICSD No.,Space Group,Struct.formula,,元素1,元素1数,族1,周期1,,元素2,元素2数,族2,周期2,晶系,,
1,2262,P 1,Be P2,Be,Be,1,2,2,P2,P,2,15,3,Triclinic,,
1,1440,F 1,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Triclinic,,
1,10422,P 1,Fe S2,Fe,Fe,1,8,4,S2,S,2,16,3,Triclinic,,
1,23594,P 1,Au2 Te3,Au2,Au,2,11,6,Te3,Te,3,16,5,Triclinic,,
1,80966,P 1,Re Si1.75,Re,Re,1,7,6,Si1.75,Si,1.75,14,3,Triclinic,,
1,87183,P 1,K O2,K,K,1,1,4,O2,O,2,16,2,Triclinic,,
1,56383,P 1,Au1.89 Te2.95,Au1.89,Au,1.89,11,6,Te2.95,Te,2.95,16,5,Triclinic,,
1,56912,P 1,C20 H34,C20,C,20,14,2,H34,H,34,1,1,Triclinic,,
1,58908,P 1,Ca8 In3,Ca8,Ca,8,2,4,In3,In,3,13,5,Triclinic,,
1,73092,C 1,La Se,La,La,1,3,6,Se,Se,1,16,4,Triclinic,,
1,96968,P 1,Eu2.73 C70,Eu2.73,Eu,2.73,3,6,C70,C,70,14,2,Triclinic,,
1,97008,P 1,Ti O2,Ti,Ti,1,4,4,O2,O,2,16,2,Triclinic,,
1,98089,P 1,Sm2.78 C70,Sm2.78,Sm,2.78,3,6,C70,C,70,14,2,Triclinic,,
1,57447,P 1,Tb6 O11,Tb6,Tb,6,3,6,O11,O,11,16,2,Triclinic,,
1,612154,P 1,Au5 Mn2,Au5,Au,5,11,6,Mn2,Mn,2,7,4,Triclinic,,
1,653560,P 1,Ti5 O9,Ti5,Ti,5,4,4,O9,O,9,16,2,Triclinic,,
1,173014,P 1,Al2 O3,Al2,Al,2,13,3,O3,O,3,16,2,Triclinic,,
1,173430,P 1,Sm2 Te4.9,Sm2,Sm,2,3,6,Te4.9,Te,4.9,16,5,Triclinic,,
1,290279,P 1,Cu46 Sn37,Cu46,Cu,46,11,4,Sn37,Sn,37,14,5,Triclinic,,
1,150477,P 1,Fe7 Al11,Fe7,Fe,7,8,4,Al11,Al,11,13,3,Triclinic,,
1,150627,P 1,Ti Ni,Ti,Ti,1,4,4,Ni,Ni,1,10,4,Triclinic,,
1,150889,P 1,Fe2 N,Fe2,Fe,2,8,4,N,N,1,15,2,Triclinic,,
1,151402,P 1,Mg Zn,Mg,Mg,1,2,3,Zn,Zn,1,12,4,Triclinic,,
1,151403,P 1,Mg Zn5,Mg,Mg,1,2,3,Zn5,Zn,5,12,4,Triclinic,,
1,189404,P 1,Ir Te2,Ir,Ir,1,9,6,Te2,Te,2,16,5,Triclinic,,
1,261647,P 1,U16 O35,U16,U,16,3,7,O35,O,35,16,2,Triclinic,,
1,192248,P 1,Co Y3,Co,Co,1,9,4,Y3,Y,3,3,5,Triclinic,,
3,16605,P 1 2 1,Nb2 O5,Nb2,Nb,2,5,5,O5,O,5,16,2,Monoclinic,,
3,90150,P 1 2 1,Sm3 C70,Sm3,Sm,3,3,6,C70,C,70,14,2,Monoclinic,,
3,163247,P 1 1 2,Mn Si1.75,Mn,Mn,1,7,4,Si1.75,Si,1.75,14,3,Monoclinic,,
3,238656,P 1 2 1,As2 O3,As2,As,2,15,4,O3,O,3,16,2,Monoclinic,,
4,2523,P 1 21 1,Te2 O5,Te2,Te,2,16,5,O5,O,5,16,2,Monoclinic,,
4,9135,P 1 21 1,In6 Se7,In6,In,6,13,5,Se7,Se,7,16,4,Monoclinic,,
4,14314,P 1 21 1,U O3,U,U,1,3,7,O3,O,3,16,2,Monoclinic,,
4,16681,P 1 21 1,P4 S5,P4,P,4,15,3,S5,S,5,16,3,Monoclinic,,
4,36263,P 1 21 1,Mo O2,Mo,Mo,1,6,5,O2,O,2,16,2,Monoclinic,,
