Table No.,ICSD No.,Space Group,Struct.formula,,元素1,元素1数,族1,周期1,,元素2,元素2数,族2,周期2,晶系,,
6,15058,P 1 m 1,Mo8 P5,Mo8,Mo,8,6,5,P5,P,5,15,3,Monoclinic,,
6,39755,P 1 m 1,Nb2 C,Nb2,Nb,2,5,5,C,C,1,14,2,Monoclinic,,
6,56386,P 1 m 1,Fe Ni,Fe,Fe,1,8,4,Ni,Ni,1,10,4,Monoclinic,,
6,76578,P 1 m 1,Nb Se3,Nb,Nb,1,5,5,Se3,Se,3,16,4,Monoclinic,,
6,54341,P 1 m 1,Mn2 Nd,Mn2,Mn,2,7,4,Nd,Nd,1,3,6,Monoclinic,,
6,161458,P 1 m 1,Ni Ti,Ni,Ni,1,10,4,Ti,Ti,1,4,4,Monoclinic,,
7,36294,P 1 a 1,Pb2 O3.333,Pb2,Pb,2,14,6,O3.333,O,3.333,16,2,Monoclinic,,
7,50338,P 1 c 1,H2 S,H2,H,2,1,1,S,S,1,16,3,Monoclinic,,
7,84139,P 1 c 1,W O3,W,W,1,6,6,O3,O,3,16,2,Monoclinic,,
7,202203,P 1 c 1,Mo8 O23,Mo8,Mo,8,6,5,O23,O,23,16,2,Monoclinic,,
7,90911,P 1 c 1,La Te2,La,La,1,3,6,Te2,Te,2,16,5,Monoclinic,,
7,56761,P 1 1 b,Eu4 Cl9,Eu4,Eu,4,3,6,Cl9,Cl,9,17,3,Monoclinic,,
7,56762,P 1 1 b,Nd4 Br9,Nd4,Nd,4,3,6,Br9,Br,9,17,4,Monoclinic,,
7,281619,P 1 c 1,V6 O13,V6,V,6,5,4,O13,O,13,16,2,Monoclinic,,
7,44,P 1 c 1,Ge S2,Ge,Ge,1,14,4,S2,S,2,16,3,Monoclinic,,
7,30905,P 1 c 1,Au Te2,Au,Au,1,11,6,Te2,Te,2,16,5,Monoclinic,,
7,414139,P 1 c 1,Ba As2,Ba,Ba,1,2,6,As2,As,2,15,4,Monoclinic,,
7,414303,P 1 c 1,Ga9 Ir2,Ga9,Ga,9,13,4,Ir2,Ir,2,9,6,Monoclinic,,
7,414305,P 1 c 1,Ga9 Rh2,Ga9,Ga,9,13,4,Rh2,Rh,2,9,5,Monoclinic,,
7,108265,P 1 c 1,Ce Se2,Ce,Ce,1,3,6,Se2,Se,2,16,4,Monoclinic,,
7,249931,P 1 n 1,Cd154 Sb120,Cd154,Cd,154,12,5,Sb120,Sb,120,15,5,Monoclinic,,
7,260098,P 1 n 1,Cd13 Sb10,Cd13,Cd,13,12,5,Sb10,Sb,10,15,5,Monoclinic,,
7,260099,P 1 n 1,Cd12.5 Sb10,Cd12.5,Cd,12.5,12,5,Sb10,Sb,10,15,5,Monoclinic,,
8,9320,C 1 m 1,Gd2 Cl3,Gd2,Gd,2,3,6,Cl3,Cl,3,17,3,Monoclinic,,
8,26563,C 1 m 1,Ag3 P11,Ag3,Ag,3,11,5,P11,P,11,15,3,Monoclinic,,
8,60512,C 1 m 1,V2 D,V2,V,2,5,4,D,D,1,1,1,Monoclinic,,
8,67475,C 1 m 1,Y4.682 Se7,Y4.682,Y,4.682,3,5,Se7,Se,7,16,4,Monoclinic,,
8,66761,C 1 m 1,Cr4 As3,Cr4,Cr,4,6,4,As3,As,3,15,4,Monoclinic,,
8,410920,I 1 m 1,Na2 B29,Na2,Na,2,1,3,B29,B,29,13,2,Monoclinic,,
8,93110,A 1 m 1,Nb12 O29,Nb12,Nb,12,5,5,O29,O,29,16,2,Monoclinic,,
