Table No.,ICSD No.,Space Group,Struct.formula,,元素1,元素1数,族1,周期1,,元素2,元素2数,族2,周期2,晶系,,
2,109,P -1,Te I,Te,Te,1,16,5,I,I,1,17,5,Triclinic,,
2,193,P -1,Ca As3,Ca,Ca,1,2,4,As3,As,3,15,4,Triclinic,,
2,197,P -1,V7 O13,V7,V,7,5,4,O13,O,13,16,2,Triclinic,,
2,1501,P -1,V O2,V,V,1,5,4,O2,O,2,16,2,Triclinic,,
2,2380,P -1,Nb S3,Nb,Nb,1,5,5,S3,S,3,16,3,Triclinic,,
2,2416,P -1,Hf8 Ni21,Hf8,Hf,8,4,6,Ni21,Ni,21,10,4,Triclinic,,
2,2417,P -1,Hf3 Ni7,Hf3,Hf,3,4,6,Ni7,Ni,7,10,4,Triclinic,,
2,2492,P -1,Ru P4,Ru,Ru,1,8,5,P4,P,4,15,3,Triclinic,,
2,6098,P -1,Ti4 O7,Ti4,Ti,4,4,4,O7,O,7,16,2,Triclinic,,
2,8179,P -1,Nb2 Se9,Nb2,Nb,2,5,5,Se9,Se,9,16,4,Triclinic,,
2,9038,P -1,Ti5 O9,Ti5,Ti,5,4,4,O9,O,9,16,2,Triclinic,,
2,9040,P -1,Ti7 O13,Ti7,Ti,7,4,4,O13,O,13,16,2,Triclinic,,
2,9041,P -1,Ti8 O15,Ti8,Ti,8,4,4,O15,O,15,16,2,Triclinic,,
2,9042,P -1,Ti9 O17,Ti9,Ti,9,4,4,O17,O,17,16,2,Triclinic,,
2,10457,P -1,Nb I5,Nb,Nb,1,5,5,I5,I,5,17,5,Triclinic,,
2,10509,P -1,Al11 Mn4,Al11,Al,11,13,3,Mn4,Mn,4,7,4,Triclinic,,
2,16416,P -1,Mn P4,Mn,Mn,1,7,4,P4,P,4,15,3,Triclinic,,
2,23843,P -1,P4 S10,P4,P,4,15,3,S10,S,10,16,3,Triclinic,,
2,24678,P -1,Cs2 S6,Cs2,Cs,2,1,6,S6,S,6,16,3,Triclinic,,
2,24808,P -1,Re2 P5,Re2,Re,2,7,6,P5,P,5,15,3,Triclinic,,
2,26256,P -1,Re Se2,Re,Re,1,7,6,Se2,Se,2,16,4,Triclinic,,
2,27510,P -1,Mo18 O52,Mo18,Mo,18,6,5,O52,O,52,16,2,Triclinic,,
2,20904,P -1,B F3,B,B,1,13,2,F3,F,3,17,2,Triclinic,,
2,30336,P -1,Ga Cl3,Ga,Ga,1,13,4,Cl3,Cl,3,17,3,Triclinic,,
2,31399,P -1,Ti10 O18,Ti10,Ti,10,4,4,O18,O,18,16,2,Triclinic,,
2,32561,P -1,Hg O,Hg,Hg,1,12,6,O,O,1,16,2,Triclinic,,
2,35251,P -1,N4 H4,N4,N,4,15,2,H4,H,4,1,1,Triclinic,,
2,36293,P -1,P2 I4,P2,P,2,15,3,I4,I,4,17,5,Triclinic,,
2,39784,P -1,Ti Br3,Ti,Ti,1,4,4,Br3,Br,3,17,4,Triclinic,,
2,62000,P -1,Cs Hg,Cs,Cs,1,1,6,Hg,Hg,1,12,6,Triclinic,,
2,62243,P -1,Zr I4,Zr,Zr,1,4,5,I4,I,4,17,5,Triclinic,,
2,62420,P -1,Ru P3,Ru,Ru,1,8,5,P3,P,3,15,3,Triclinic,,
2,63332,C -1,S F6,S,S,1,16,3,F6,F,6,17,2,Triclinic,,
2,66641,P -1,Te4 I4,Te4,Te,4,16,5,I4,I,4,17,5,Triclinic,,
2,66662,P -1,Tc2 As3,Tc2,Tc,2,7,5,As3,As,3,15,4,Triclinic,,
2,66663,C -1,Ca C2,Ca,Ca,1,2,4,C2,C,2,14,2,Triclinic,,
2,73823,P -1,Tb11 O20,Tb11,Tb,11,3,6,O20,O,20,16,2,Triclinic,,
