A,B,x,y,Chiral
1,15,3,7,1
13,1,5,9,1
1,14,4,9,1
3,13,0.96,15,1
3,13,1,15,1
1,15,3,7,1
13,1,5,9,1
1,14,4,9,1
3,13,0.96,15,1
3,13,1,15,1
14,16,64,128,1
14,16,1,2,1
7,14,5,2,1
2,15,1,4,1
10,3,2,3,1
15,16,2,5,1
14,17,1,2,1
14,16,1,2,1
1,16,2,1,1
4,14,5,4,1
14,16,1,2,1
16,16,1,2,1
1,16,2,2,1
1,16,2,1,1
1,16,1,2,1
1,16,2,2,1
13,13,1,12,1
10,15,11,8,1
10,17,3,8,1
12,15,1,4,1
13,16,2,2,1
8,16,21.34,32,1
17,13,7,5,1
4,14,5,4,1
4,14,5,4,1
3,14,5,4,1
3,14,5,4,1
3,14,5,4,1
12,15,1,2,1
14,16,1,2,1
1,13,1,11,1
12,15,1,2,1
3,14,5,4,1
4,14,5,4,1
8,16,2,3,1
2,13,4.8,44,1
2,13,4.77,44,1
2,13,4.78,44,1
13,13,3.24,44,1
13,13,1.67,22,1
11,16,2,1,1
8,16,21.333,32,1
8,16,1.966,2.963,1
2,13,1,6,1
2,14,3,2,1
14,4,4,5,1
9,14,5,2,1
16,14,2,1,1
14,16,64,128,1
14,16,1,2,1
13,13,3.24,44,1
13,13,1.67,22,1
12,15,1,2,1
11,16,2,1,1
14,16,1,2,1
8,16,21.333,32,1
16,16,1,2,1
8,16,1.966,2.963,1
12,15,1,2,1
2,13,1,6,1
2,14,3,2,1
7,14,5,2,1
2,15,1,4,1
10,3,2,3,1
15,16,2,5,1
14,17,1,2,1
1,16,2,1,1
4,14,5,4,1
14,16,1,2,1
1,16,2,2,1
1,16,2,1,1
1,16,1,2,1
1,16,2,2,1
13,13,1,12,1
10,15,11,8,1
10,17,3,8,1
12,15,1,4,1
13,16,2,2,1
8,16,21.34,32,1
17,13,7,5,1
4,14,5,4,1
4,14,5,4,1
3,14,5,4,1
3,14,5,4,1
3,14,5,4,1
14,16,1,2,1
1,13,1,11,1
3,14,5,4,1
4,14,5,4,1
8,16,2,3,1
2,13,4.8,44,1
2,13,4.77,44,1
2,13,4.78,44,1
14,4,4,5,1
9,14,5,2,1
16,14,2,1,1
13,16,2,3,1
8,16,7,8,1
8,16,7,8,1
4,14,5.73,3.72,1
5,14,6,4.73,1
12,16,1,1,1
9,14,1,4,1
5,14,6,4.87,1
16,16,5,4,1
5,14,6,5,1
2,17,1,2,1
13,16,2,3,1
8,16,7,8,1
8,16,7,8,1
4,14,5.73,3.72,1
5,14,6,4.73,1
12,16,1,1,1
9,14,1,4,1
5,14,6,4.87,1
16,16,5,4,1
5,14,6,5,1
2,17,1,2,1
4,17,1,3,1
5,14,6,5,1
8,17,1,3,1
3,10,1,4,1
6,17,1,3,1
1,14,7,3,1
8,16,7,8,1
8,16,7,8,1
12,16,1,1,1
14,16,1,2,1
10,16,17,18,1
12,16,1,1,1
12,16,1,1,1
4,14,6,3.75,1
12,16,1,1,1
14,16,1,2,1
12,16,1,1,1
9,14,1,4,1
13,16,2,3,1
9,14,1,4,1
10,14,20,13,1
16,16,0.25,0.75,1
16,16,0.5,0.5,1
2,17,1,2,1
5,16,7,8,1
12,16,1,1,1
10,14,7.19,4.31,1
4,16,1,2,1
9,14,1,4,1
16,14,2,1,1
6,17,1,3,1
4,17,1,3,1
5,14,6,5,1
8,17,1,3,1
3,10,1,4,1
1,14,7,3,1
14,16,1,2,1
5,16,7,8,1
12,16,1,1,1
14,16,1,2,1
12,16,1,1,1
12,16,1,1,1
12,16,1,1,1
10,14,7.19,4.31,1
8,16,7,8,1
8,16,7,8,1
10,16,17,18,1
4,14,6,3.75,1
12,16,1,1,1
12,16,1,1,1
