A,Ｂ,ⅹ,ｙ,Chiral
14,17,2,1,1
14,16,1,2,1
16,16,7,10,1
6,13,1,5,1
13,16,1,1,1
13,16,2,3,1
10,15,1,1,1
6,13,4,17,1
5,15,2,5,1
10,14,5,3,1
13,16,1,1,1
10,16,3,2,1
5,16,2,5,1
3,13,1,50,1
12,15,1,2,1
10,16,7,4,1
11,16,2,1,1
15,16,2,5,1
15,17,1,3,1
1,16,2,5,1
1,15,1,1,1
16,17,1,4,1
16,16,1,2,1
11,15,2,1,1
8,15,1,4,1
1,13,2,1,1
5,1,1,1,1
6,16,3,8,1
3,15,1,2,1
2,6,13,1,1
12,15,1,2,1
8,16,2,3,1
14,17,1,2,1
14,16,1,2,1
4,14,5,4,1
13,17,5,7,1
7,14,5,2,1
10,17,3,8,1
14,17,1,2,1
13,16,1,1,1
12,15,1,2,1
12,15,1,4,1
4,14,5,4,1
8,16,2,3,1
1,15,3,7,1
1,14,4,9,1
1,14,4,9,1
8,17,1,3,1
4,17,1,3,1
4,16,3,1,1
6,13,1,5,1
10,14,31,12,1
6,17,1,3,1
5,14,6,5,1
2,17,1,2,1
12,16,1,1,1
8,16,7,8,1
8,16,7,8,1
14,16,1,2,1
12,16,1,1,1
12,16,1,1,1
12,16,1,1,1
12,16,1,1,1
9,14,1,4,1
9,14,1,4,1
10,16,17,18,1
10,14,13,9,1
9,14,1,4,1
9,14,1,4,1
12,16,1,1,1
12,16,1,1,1
11,12,1,1,1
13,16,2,3,1
11,17,1,3,1
11,17,1,3,1
4,9,5,3,1
4,9,5,3,1
11,12,1,1,1
2,17,1,2,1
6,14,1,2,1
1,14,1,8,1
4,14,1,2,1
2,10,2,1,1
6,14,1,2,1
6,14,1,2,1
5,14,1,2,1
5,14,1,2,1
5,14,1,2,1
5,14,1,2,1
5,14,1,2,1
5,14,1,2,1
6,14,1,2,1
8,14,3,1,1
8,15,3,1,1
14,16,1,1,1
6,13,1,5,1
10,15,3,1,1
4,17,1,3,1
6,13,1,5,1
4,16,3,1,1
13,16,2,3,1
13,16,2,3,1
13,16,2,3,1
11,14,10,3,1
13,16,2,3,1
15,17,1,3,1
14,15,3,4,1
11,13,4,1,1
2,13,8,7,1
2,11,1,1,1
9,14,1,1,1
9,14,1,1,1
6,14,1,1,1
6,14,1,1,1
11,13,4,1,1
8,14,1,1,1
8,14,1,1,1
4,15,1,1,1
4,14,1,1,1
13,17,1,1,1
2,10,1,1,1
7,14,1,1,1
7,14,1,1,1
10,14,1,1,1
8,14,1,1,1
10,13,1,1,1
10,17,1,2,1
10,13,1,1,1
10,13,1,1,1
10,13,1,1,1
7,14,1,1,1
9,14,1,1,1
9,14,1,1,1
9,14,1,1,1
8,14,1,1,1
8,14,1,1,1
2,13,8,7,1
2,13,8,7,1
7,14,1,1,1
4,15,1,1,1
11,17,1,2,0
11,13,1,1,0
15,16,4,7,0
14,17,13,12,0
14,17,8,8,0
2,13,8,3,0
2,15,1,3,0
2,14,1,2,0
2,15,1,3,0
6,16,8,21,0
1,12,1,1,0
1,16,1,3,0
11,13,7,3,0
7,15,1,4,0
5,16,1,3,0
5,17,1,5,0
10,14,4,1,0
7,15,2,5,0
7,13,4,11,0
7,17,1,7,0
7,16,1,2,0
7,16,1,2,0
7,16,1,2,0
9,15,1,2,0
8,15,1,3,0
8,15,1,4,0
5,16,6,1,0
5,16,1,2,0
5,16,1,2,0
13,16,2,3,0
11,16,1,1,0
13,16,2,3,0
13,16,2,3,0
1,14,1,1,0
5,16,2,5,0
5,16,1,2,0
11,13,1,1,0
2,11,1,1,0
2,15,1,2,0
6,16,2,3,0
6,16,1,3,0
13,16,2,3,0
13,16,2,5,0
13,17,1,3,0
11,7,5,2,0
2,15,1,3,0
2,15,5,8,0
2,13,1,4,0
9,14,1,1,0
9,16,1,1,0
6,16,3,4,0
6,16,3,4,0
6,16,3,4,0
6,17,1,3,0
6,17,1,2,0
6,15,1,2,0
11,13,1,1,0
11,17,1,2,0
11,17,1,2,0
6,13,1,3,0
6,17,1,3,0
4,16,3,5,0
5,16,3,5,0
4,17,1,4,0
4,17,1,4,0
11,16,3,4,0
11,16,1,1,0
13,17,1,3,0
13,17,1,3,0
9,15,1,2,0
11,16,2,1,0
11,15,1,2,0
8,15,1,4,0
15,16,1,2,0
6,17,2,5,0
6,15,1,4,0
6,16,1,1,0
4,13,2,3,0
5,15,3,2,0
10,16,1,1,0
4,17,1,4,0
2,14,1,1,0
8,10,1,1,0
8,16,1,1,0
7,9,1,1,0
7,10,1,1,0
7,10,1,1,0
7,10,1,1,0
7,9,1,1,0
8,17,1,3,0
5,17,1,3,0
12,15,4,3,0
9,14,2,1,0
9,15,2,1,0
9,14,2,1,0
9,13,3,1,0
9,14,3,1,0
9,14,3,2,0
9,15,1,1,0
9,13,1,1,0
9,15,1,1,0
6,14,3,1,0
6,14,3,2,0
6,15,5,3,0
6,14,7,3,0
6,15,1,1,0
6,15,1,1,0
8,15,2,1,0
8,15,3,1,0
8,13,3,1,0
8,14,3,1,0
8,16,3,1,0
8,14,7,3,0
8,15,1,1,0
8,13,1,1,0
8,16,1,1,0
5,17,6,11,0
7,16,3,4,0
14,16,1,1,0
12,15,1,1,0
12,15,1,1,0
10,15,1,1,0
10,15,1,2,0
10,16,1,2,0
10,16,1,2,0
7,15,1,4,0
16,16,1,2,0
4,16,1,2,0
12,15,1,1,0
12,15,1,1,0
4,16,1,2,0
6,10,1,4,0
5,16,21,8,0
5,15,5,4,0
10,15,12,5,0
5,16,4,5,0
4,16,4,5,0
