Table No.,ICSD No.,Space Group,Struct.formula,,å≥ëf1,å≥ëf1êî,ë∞1,é¸ä˙1,,å≥ëf2,å≥ëf2êî,ë∞2,é¸ä˙2,èªån,
17,43242,P 2 2 21,Ag2 Se,Ag2,Ag,2,11,5,Se,Se,1,16,4,Orthorhombic,
17,58806,P 2 2 21,Bi Mn,Bi,Bi,1,15,6,Mn,Mn,1,7,4,Orthorhombic,
17,653907,P 2 2 21,Bi0.76 Mn0.876,Bi0.76,Bi,0.76,15,6,Mn0.876,Mn,0.876,7,4,Orthorhombic,
17,655963,P 2 2 21,Nd Si2,Nd,Nd,1,3,6,Si2,Si,2,14,3,Orthorhombic,
17,54376,P 2 2 21,Nd Si1.817,Nd,Nd,1,3,6,Si1.817,Si,1.817,14,3,Orthorhombic,
18,26765,P 21 21 2,Ba S3,Ba,Ba,1,2,6,S3,S,3,16,3,Orthorhombic,
18,90788,P 21 2 21,Pd7 Se4,Pd7,Pd,7,10,5,Se4,Se,4,16,4,Orthorhombic,
19,262634,P 21 21 21,Ag2 S,Ag2,Ag,2,11,5,S,S,1,16,3,Orthorhombic,
19,15213,P 21 21 21,Ag2 Se,Ag2,Ag,2,11,5,Se,Se,1,16,4,Orthorhombic,
19,61020,P 21 21 21,Al0.87 B12,Al0.87,Al,0.87,13,3,B12,B,12,13,2,Orthorhombic,
19,38057,P 21 21 21,Al6.3 B88,Al6.3,Al,6.3,13,3,B88,B,88,13,2,Orthorhombic,
19,24579,P 21 21 21,As Br3,As,As,1,15,4,Br3,Br,3,17,4,Orthorhombic,
19,35133,P 21 21 21,As Cl3,As,As,1,15,4,Cl3,Cl,3,17,3,Orthorhombic,
19,987,P 21 21 21,As2 O5,As2,As,2,15,4,O5,O,5,16,2,Orthorhombic,
19,26562,P 21 21 21,B14 H20,B14,B,14,13,2,H20,H,20,1,1,Orthorhombic,
19,43258,P 21 21 21,B8 Cl8,B8,B,8,13,2,Cl8,Cl,8,17,3,Orthorhombic,
19,188892,P 21 21 21,C O2,C,C,1,14,2,O2,O,2,16,2,Orthorhombic,
19,56909,P 21 21 21,C20 H36,C20,C,20,14,2,H36,H,36,1,1,Orthorhombic,
19,192246,P 21 21 21,Co Y3,Co,Co,1,9,4,Y3,Y,3,3,5,Orthorhombic,
19,14031,P 21 21 21,Cs Sb,Cs,Cs,1,1,6,Sb,Sb,1,15,5,Orthorhombic,
19,201073,P 21 21 21,Cs2 S5,Cs2,Cs,2,1,6,S5,S,5,16,3,Orthorhombic,
19,60087,P 21 21 21,Cs2 Se5,Cs2,Cs,2,1,6,Se5,Se,5,16,4,Orthorhombic,
19,155543,P 21 21 21,D2 O,D2,D,2,1,1,O,O,1,16,2,Orthorhombic,
19,173481,P 21 21 21,Ge D4,Ge,Ge,1,14,4,D4,D,4,1,1,Orthorhombic,
19,18030,P 21 21 21,Ge F2,Ge,Ge,1,14,4,F2,F,2,17,2,Orthorhombic,
19,79668,P 21 21 21,In2 Br3,In2,In,2,13,5,Br3,Br,3,17,4,Orthorhombic,
19,412593,P 21 21 21,K As,K,K,1,1,4,As,As,1,15,4,Orthorhombic,
19,14010,P 21 21 21,K P,K,K,1,1,4,P,P,1,15,3,Orthorhombic,
19,44675,P 21 21 21,K2 S5,K2,K,2,1,4,S5,S,5,16,3,Orthorhombic,
19,72380,P 21 21 21,K2 Se5,K2,K,2,1,4,Se5,Se,5,16,4,Orthorhombic,
19,60774,P 21 21 21,Li3 P7,Li3,Li,3,1,2,P7,P,7,15,3,Orthorhombic,
19,187196,P 21 21 21,Mn Ge,Mn,Mn,1,7,4,Ge,Ge,1,14,4,Orthorhombic,
19,105044,P 21 21 21,Mo Ni,Mo,Mo,1,6,5,Ni,Ni,1,10,4,Orthorhombic,
19,644016,P 21 21 21,Mo28 Ni28,Mo28,Mo,28,6,5,Ni28,Ni,28,10,4,Orthorhombic,
19,83234,P 21 21 21,N D3,N,N,1,15,2,D3,D,3,1,1,Orthorhombic,
