Struct.formula,Struct.formula,,族1,族2,元素1数,元素2数,Table No.
V O2,V,O2,5,16,1,2,2
Nb I5,Nb,I5,5,17,1,5,2
Hg O,Hg,O,12,16,1,1,2
Tb11 O20,Tb11,O20,3,16,11,20,2
Au4 Cl8,Au4,Cl8,11,17,4,8,2
C3 S8,C3,S8,14,16,3,8,2
Ti6 O11,Ti6,O11,4,16,6,11,2
Eu As3,Eu,As3,3,15,1,3,2
Ni6.742 In3,Ni6.742,In3,10,13,6.742,3,2
Li B0.5,Li,B0.5,1,13,1,0.5,2
C90 Cl24.08,C90,Cl24.08,14,17,90,24.08,2
Ag1 P15,Ag1,P15,11,15,1,15,2
W O2.90,W,O2.90,6,16,1,2.9,10
Si72 O144,Si72,O144,14,16,72,144,10
Li2.74 Pd5.26,Li2.74,Pd5.26,1,10,2.74,5.26,10
Pd Cl2,Pd,Cl2,10,17,1,2,10
Sm5 Br11,Sm5,Br11,3,17,5,11,11
P4 O6,P4,O6,15,16,4,6,11
Y2 S3,Y2,S3,3,16,2,3,11
Sm P5,Sm,P5,3,15,1,5,11
Nb2 Se3,Nb2,Se3,5,16,2,3,11
Dy5 Cl11,Dy5,Cl11,3,17,5,11,11
Al Ce3,Al,Ce3,13,3,1,3,11
Hf Te3,Hf,Te3,4,16,1,3,11
Zr Ir,Zr,Ir,4,9,1,1,11
Ga5 Pt,Ga5,Pt,13,10,5,1,11
Zr Cl,Zr,Cl,4,17,1,1,12
Gd Br3,Gd,Br3,3,17,1,3,12
V4 As3,V4,As3,5,15,4,3,12
Cr Cl3,Cr,Cl3,6,17,1,3,12
Nb2 Se,Nb2,Se,5,16,2,1,12
Cu2 P7,Cu2,P7,11,15,2,7,12
Si O2,Si,O2,14,16,1,2,12
Ca5 P8,Ca5,P8,2,15,5,8,12
Nb As2,Nb,As2,5,15,1,2,12
Rh1.278 Te2,Rh1.278,Te2,9,16,1.278,2,12
Er4 I5,Er4,I5,3,17,4,5,12
V0.625 S,V0.625,S,5,16,0.625,1,12
Y5 S7,Y5,S7,3,16,5,7,12
P Cl5,P,Cl5,15,17,1,5,12
Ca C2,Ca,C2,2,14,1,2,12
Al4 Li9,Al4,Li9,13,1,4,9,12
Au5 Mn2,Au5,Mn2,11,7,5,2,12
Cu11 In9,Cu11,In9,11,13,11,9,12
Co1.93 Zn15.04,Co1.93,Zn15.04,9,12,1.93,15.04,12
Cu Cl2,Cu,Cl2,11,17,1,2,12
Pt Te,Pt,Te,10,16,1,1,12
Mg2.3 Ir2.7,Mg2.3,Ir2.7,2,9,2.3,2.7,12
Hf7 As4,Hf7,As4,4,15,7,4,12
Co17 Th2,Co17,Th2,9,3,17,2,12
Yb Ga4,Yb,Ga4,3,13,1,4,12
Ti7 P4,Ti7,P4,4,15,7,4,12
Ta F5,Ta,F5,5,17,1,5,12
Sc5 Ga3,Sc5,Ga3,3,13,5,3,12
Er2 O3,Er2,O3,3,16,2,3,12
Li3.49 C60,Li3.49,C60,1,14,3.49,60,12
Bi Se,Bi,Se,15,16,1,1,12
Gd3 Ni2,Gd3,Ni2,3,10,3,2,12
Hf Cl4,Hf,Cl4,4,17,1,4,13
Se1.1 S6.9,Se1.1,S6.9,16,16,1.1,6.9,13
Ti3 O5,Ti3,O5,4,16,3,5,13
Re Cl4,Re,Cl4,7,17,1,4,13
Fe3 O4,Fe3,O4,8,16,3,4,13
As8 S9,As8,S9,15,16,8,9,13
Nd As2,Nd,As2,3,15,1,2,14
As2 O3,As2,O3,15,16,2,3,14
